"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
1,4.28601756969282,8.86040963730461,"Prox-Newton",3,113,TRUE,"PN stop modes reached: relative_change",0.179523944854736,138.086023084598,1e-04,"case_relative_change"
2,3.66654767904032,7.57979029781112,"Prox-Newton",1,4000,FALSE,"PN step failed to decrease objective",2.74875116348267,138.086023084598,1e-04,"case_relative_change"
3,3.13661147302283,6.4842623886032,"Prox-Newton",3,5041,FALSE,"PN step failed to decrease objective",3.37850594520569,137.641763348425,1e-04,"case_relative_change"
4,2.68326840230086,5.54707413691853,"Prox-Newton",4,201,TRUE,"PN stop modes reached: relative_change",0.680552959442139,136.310733004577,1e-04,"case_relative_change"
5,2.29544825067144,4.74534027718437,"Prox-Newton",1,4000,FALSE,"PN step failed to decrease objective",2.74428582191467,134.789979191087,1e-04,"case_relative_change"
6,1.96368081068312,4.05948321411427,"Prox-Newton",5,1299,TRUE,"PN stop modes reached: relative_change",46.1378209590912,131.372650353374,1e-04,"case_relative_change"
7,1.67986462997683,3.47275495603733,"Prox-Newton",4,74,TRUE,"PN stop modes reached: relative_change",0.0609920024871826,127.863933814564,1e-04,"case_relative_change"
8,1.4370691813531,2.97082814451621,"Prox-Newton",4,178,TRUE,"PN stop modes reached: relative_change",1.81633687019348,123.902915169469,1e-04,"case_relative_change"
9,1.22936562574292,2.54144619357784,"Prox-Newton",4,175,TRUE,"PN stop modes reached: relative_change",1.88585710525513,119.641518586772,1e-04,"case_relative_change"
10,1.05168203547115,2.17412399528183,"Prox-Newton",4,283,TRUE,"PN stop modes reached: relative_change",3.78018498420715,115.188499174029,1e-04,"case_relative_change"
11,0.899679542499283,1.85989188313518,"Prox-Newton",3,255,TRUE,"PN stop modes reached: relative_change",4.9811749458313,110.628093861283,1e-04,"case_relative_change"
12,0.769646387302891,1.5910766011778,"Prox-Newton",3,235,TRUE,"PN stop modes reached: relative_change",4.85779905319214,106.035045543943,1e-04,"case_relative_change"
13,0.658407281155739,1.3611139302077,"Prox-Newton",1,1000,TRUE,"PN stop modes reached: relative_change",18.594878911972,101.800389001667,1e-04,"case_relative_change"
14,0.563245868531947,1.16438839565236,"Prox-Newton",5,143,TRUE,"PN stop modes reached: relative_change",0.106961965560913,96.9715633022241,1e-04,"case_relative_change"
15,0.481838396230109,0.996096142901866,"Prox-Newton",3,93,TRUE,"PN stop modes reached: relative_change",0.680199146270752,92.578718047717,1e-04,"case_relative_change"
16,0.412196969481073,0.85212763164655,"Prox-Newton",3,95,TRUE,"PN stop modes reached: relative_change",0.679658889770508,88.3200486512186,1e-04,"case_relative_change"
