"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
1,4.28601756969282,8.86040963730461,"Prox-Newton",1,111,TRUE,"PN stop modes reached: local_norm",0.0827329158782959,138.086023084597,1e-05,"case_norm_mode"
2,3.66654767904032,7.57979029781112,"Prox-Newton",1,3000,FALSE,"PN step failed to decrease objective",2.06824517250061,138.086023084597,1e-05,"case_norm_mode"
3,3.13661147302283,6.4842623886032,"Prox-Newton",4,5041,FALSE,"PN step failed to decrease objective",3.33517813682556,137.555016786726,1e-05,"case_norm_mode"
4,2.68326840230086,5.54707413691853,"Prox-Newton",6,1201,TRUE,"PN stop modes reached: local_norm",15.2284328937531,136.310727002406,1e-05,"case_norm_mode"
5,2.29544825067144,4.74534027718437,"Prox-Newton",9,2258,TRUE,"PN stop modes reached: local_norm",3.27300095558167,134.237597236691,1e-05,"case_norm_mode"
6,1.96368081068312,4.05948321411427,"Prox-Newton",8,179,TRUE,"PN stop modes reached: local_norm",0.148797035217285,131.372352578974,1e-05,"case_norm_mode"
7,1.67986462997683,3.47275495603733,"Prox-Newton",8,184,TRUE,"PN stop modes reached: local_norm",0.150717973709106,127.863931534352,1e-05,"case_norm_mode"
8,1.4370691813531,2.97082814451621,"Prox-Newton",8,302,TRUE,"PN stop modes reached: local_norm",1.96315288543701,123.902914247829,1e-05,"case_norm_mode"
9,1.22936562574292,2.54144619357784,"Prox-Newton",8,303,TRUE,"PN stop modes reached: local_norm",1.98185801506042,119.641517968995,1e-05,"case_norm_mode"
10,1.05168203547115,2.17412399528183,"Prox-Newton",9,403,TRUE,"PN stop modes reached: local_norm",3.8285801410675,115.188498706298,1e-05,"case_norm_mode"
11,0.899679542499283,1.85989188313518,"Prox-Newton",9,381,TRUE,"PN stop modes reached: local_norm",4.89322900772095,110.627877174213,1e-05,"case_norm_mode"
12,0.769646387302891,1.5910766011778,"Prox-Newton",7,473,TRUE,"PN stop modes reached: local_norm",7.26436996459961,106.034855316976,1e-05,"case_norm_mode"
13,0.658407281155739,1.3611139302077,"Prox-Newton",12,2241,TRUE,"PN stop modes reached: local_norm",39.0442209243774,101.468409629137,1e-05,"case_norm_mode"
14,0.563245868531947,1.16438839565236,"Prox-Newton",8,465,TRUE,"PN stop modes reached: local_norm",5.470782995224,96.9715579042804,1e-05,"case_norm_mode"
15,0.481838396230109,0.996096142901866,"Prox-Newton",9,466,TRUE,"PN stop modes reached: local_norm",5.49199891090393,92.578664052715,1e-05,"case_norm_mode"
16,0.412196969481073,0.85212763164655,"Prox-Newton",9,527,TRUE,"PN stop modes reached: local_norm",5.50380086898804,88.3200035489769,1e-05,"case_norm_mode"
17,0.352621009406314,0.728967284724337,"Prox-Newton",9,575,TRUE,"PN stop modes reached: local_norm",5.62472891807556,84.2114613863133,1e-05,"case_norm_mode"
18,0.301655726463164,0.623607640995718,"Prox-Newton",19,517,TRUE,"PN stop modes reached: local_norm",0.398364782333374,80.2622249257912,1e-05,"case_norm_mode"
19,0.258056595837054,0.533475915939497,"Prox-Newton",20,424,TRUE,"PN stop modes reached: local_norm",0.894676923751831,76.4798090041923,1e-05,"case_norm_mode"
20,0.220758967302882,0.456371176647336,"Prox-Newton",20,432,TRUE,"PN stop modes reached: local_norm",4.88035202026367,72.8693831009694,1e-05,"case_norm_mode"
21,0.188852067456581,0.390410597088876,"Prox-Newton",61,464,TRUE,"PN stop modes reached: local_norm",5.0565869808197,69.4336824978052,1e-05,"case_norm_mode"
22,0.161556759475561,0.333983481251,"Prox-Newton",13,577,TRUE,"PN stop modes reached: local_norm",5.03600811958313,66.177250880481,1e-05,"case_norm_mode"
23,0.138206517322057,0.285711931439055,"Prox-Newton",23,596,TRUE,"PN stop modes reached: local_norm",5.04054284095764,63.0970389034037,1e-05,"case_norm_mode"
24,0.118231149797118,0.244417201296511,"Prox-Newton",24,980,TRUE,"PN stop modes reached: local_norm",4.80198884010315,60.1890305046199,1e-05,"case_norm_mode"
25,0.101142877001776,0.209090911915109,"Prox-Newton",35,750,TRUE,"PN stop modes reached: local_norm",0.600492000579834,57.4365047535435,1e-05,"case_norm_mode"
