"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
1,4.28601756969282,8.86040963730461,"Prox-Newton",1,15,FALSE,"PN step failed to decrease objective",0.0170669555664062,138.086023084596,1e-07,"case_norm_mode"
2,3.66654767904032,7.57979029781112,"Prox-Newton",2,10,FALSE,"max_iter reached",0.013369083404541,138.031397233772,1e-07,"case_norm_mode"
3,3.13661147302283,6.4842623886032,"Prox-Newton",2,20,FALSE,"max_iter reached",0.0215511322021484,137.671245246667,1e-07,"case_norm_mode"
4,2.68326840230086,5.54707413691853,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0124881267547607,136.355976421631,1e-07,"case_norm_mode"
5,2.29544825067144,4.74534027718437,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0109119415283203,134.431601909376,1e-07,"case_norm_mode"
6,1.96368081068312,4.05948321411427,"Prox-Newton",2,15,FALSE,"max_iter reached",0.0172469615936279,131.604823310805,1e-07,"case_norm_mode"
7,1.67986462997683,3.47275495603733,"Prox-Newton",2,15,FALSE,"max_iter reached",0.0227880477905273,128.117398475031,1e-07,"case_norm_mode"
8,1.4370691813531,2.97082814451621,"Prox-Newton",2,15,FALSE,"max_iter reached",0.0180411338806152,124.492327695918,1e-07,"case_norm_mode"
9,1.22936562574292,2.54144619357784,"Prox-Newton",2,10,FALSE,"max_iter reached",0.016434907913208,119.979937123863,1e-07,"case_norm_mode"
10,1.05168203547115,2.17412399528183,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0183620452880859,115.423036828821,1e-07,"case_norm_mode"
11,0.899679542499283,1.85989188313518,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0184779167175293,110.8622741884,1e-07,"case_norm_mode"
12,0.769646387302891,1.5910766011778,"Prox-Newton",2,10,FALSE,"max_iter reached",0.016373872756958,106.220187620664,1e-07,"case_norm_mode"
13,0.658407281155739,1.3611139302077,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0179758071899414,101.601703634396,1e-07,"case_norm_mode"
14,0.563245868531947,1.16438839565236,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0189781188964844,97.0653877003363,1e-07,"case_norm_mode"
15,0.481838396230109,0.996096142901866,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0188319683074951,92.6457136836608,1e-07,"case_norm_mode"
16,0.412196969481073,0.85212763164655,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0182149410247803,88.3701252339308,1e-07,"case_norm_mode"
17,0.352621009406314,0.728967284724337,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0182740688323975,84.2528058019025,1e-07,"case_norm_mode"
18,0.301655726463164,0.623607640995718,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0188710689544678,80.3178244994696,1e-07,"case_norm_mode"
