"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol"
1,4.28601756969282,8.86040963730461,"Prox-Newton",1,111,TRUE,"PN stop modes reached: local_norm|relative_change",0.173510074615479,138.086023084597,1e-05
2,3.66654767904032,7.57979029781112,"Prox-Newton",1,4000,FALSE,"PN step failed to decrease objective",2.86649298667908,138.086023084597,1e-05
3,3.13661147302283,6.4842623886032,"Prox-Newton",4,6063,FALSE,"PN step failed to decrease objective",4.18989300727844,137.555016296685,1e-05
4,2.68326840230086,5.54707413691853,"Prox-Newton",4,1293,TRUE,"PN stop modes reached: relative_change",15.3265218734741,136.310728021864,1e-05
5,2.29544825067144,4.74534027718437,"Prox-Newton",1,4000,FALSE,"PN step failed to decrease objective",2.83135318756104,134.790324690334,1e-05
6,1.96368081068312,4.05948321411427,"Prox-Newton",6,1518,TRUE,"PN stop modes reached: relative_change",46.8969860076904,131.372352796187,1e-05
7,1.67986462997683,3.47275495603733,"Prox-Newton",4,216,TRUE,"PN stop modes reached: relative_change",0.156822919845581,127.863932966036,1e-05
8,1.4370691813531,2.97082814451621,"Prox-Newton",4,352,TRUE,"PN stop modes reached: relative_change",2.01394081115723,123.902915010023,1e-05
9,1.22936562574292,2.54144619357784,"Prox-Newton",4,460,TRUE,"PN stop modes reached: relative_change",2.69700908660889,119.641518360539,1e-05
10,1.05168203547115,2.17412399528183,"Prox-Newton",4,756,TRUE,"PN stop modes reached: relative_change",5.3664698600769,115.188498926266,1e-05
11,0.899679542499283,1.85989188313518,"Prox-Newton",5,5044,TRUE,"PN stop modes reached: relative_change",32.4658770561218,110.627877172424,1e-05
12,0.769646387302891,1.5910766011778,"Prox-Newton",4,594,TRUE,"PN stop modes reached: relative_change",7.68300986289978,106.034855371205,1e-05
13,0.658407281155739,1.3611139302077,"Prox-Newton",5,2316,TRUE,"PN stop modes reached: relative_change",39.7359359264374,101.468410942887,1e-05
14,0.563245868531947,1.16438839565236,"Prox-Newton",4,599,TRUE,"PN stop modes reached: relative_change",5.79721903800964,96.9715579149169,1e-05
15,0.481838396230109,0.996096142901866,"Prox-Newton",4,599,TRUE,"PN stop modes reached: relative_change",5.89340996742249,92.5786640552007,1e-05
16,0.412196969481073,0.85212763164655,"Prox-Newton",4,653,TRUE,"PN stop modes reached: relative_change",5.70804786682129,88.3200035486074,1e-05
