"path_index","lambda_gamma","lambda_Omega","fixed_iters","updates_observed","nondecrease_count","nondecrease_rate","solver_tol","oracle_case"
1,4.28601756969282,8.86040963730461,100,100,100,1,1e-04,"case_oracle_change"
2,3.66654767904032,7.57979029781112,100,100,100,1,1e-04,"case_oracle_change"
3,3.13661147302283,6.4842623886032,100,100,97,0.97,1e-04,"case_oracle_change"
4,2.68326840230086,5.54707413691853,100,100,94,0.94,1e-04,"case_oracle_change"
5,2.29544825067144,4.74534027718437,100,100,94,0.94,1e-04,"case_oracle_change"
6,1.96368081068312,4.05948321411427,100,100,94,0.94,1e-04,"case_oracle_change"
7,1.67986462997683,3.47275495603733,100,100,94,0.94,1e-04,"case_oracle_change"
8,1.4370691813531,2.97082814451621,100,100,94,0.94,1e-04,"case_oracle_change"
9,1.22936562574292,2.54144619357784,100,100,83,0.83,1e-04,"case_oracle_change"
10,1.05168203547115,2.17412399528183,100,100,90,0.9,1e-04,"case_oracle_change"
11,0.899679542499283,1.85989188313518,100,100,91,0.91,1e-04,"case_oracle_change"
12,0.769646387302891,1.5910766011778,100,100,94,0.94,1e-04,"case_oracle_change"
13,0.658407281155739,1.3611139302077,100,100,93,0.93,1e-04,"case_oracle_change"
14,0.563245868531947,1.16438839565236,100,100,94,0.94,1e-04,"case_oracle_change"
15,0.481838396230109,0.996096142901866,100,100,94,0.94,1e-04,"case_oracle_change"
16,0.412196969481073,0.85212763164655,100,100,94,0.94,1e-04,"case_oracle_change"
17,0.352621009406314,0.728967284724337,100,100,94,0.94,1e-04,"case_oracle_change"
18,0.301655726463164,0.623607640995718,100,100,85,0.85,1e-04,"case_oracle_change"
19,0.258056595837054,0.533475915939497,100,100,76,0.76,1e-04,"case_oracle_change"
20,0.220758967302882,0.456371176647336,100,100,77,0.77,1e-04,"case_oracle_change"
21,0.188852067456581,0.390410597088876,100,100,78,0.78,1e-04,"case_oracle_change"
22,0.161556759475561,0.333983481251,100,100,88,0.88,1e-04,"case_oracle_change"
23,0.138206517322057,0.285711931439055,100,100,89,0.89,1e-04,"case_oracle_change"
24,0.118231149797118,0.244417201296511,100,100,85,0.85,1e-04,"case_oracle_change"
25,0.101142877001776,0.209090911915109,100,100,77,0.77,1e-04,"case_oracle_change"
26,0.0865244192055192,0.178870428159656,100,100,77,0.77,1e-04,"case_oracle_change"
27,0.0740188072633227,0.153017793920229,100,100,71,0.71,1e-04,"case_oracle_change"
28,0.0633206657610876,0.130901711910223,100,100,80,0.8,1e-04,"case_oracle_change"
29,0.054168756032011,0.111982127973692,100,100,74,0.74,1e-04,"case_oracle_change"
30,0.0463395969512803,0.0957970434650741,100,100,75,0.75,1e-04,"case_oracle_change"
31,0.03964200773483,0.0819512336719061,100,100,76,0.76,1e-04,"case_oracle_change"
32,0.0339124394823833,0.0701065967948781,100,100,72,0.72,1e-04,"case_oracle_change"
33,0.0290109814653977,0.059973897816312,100,100,70,0.7,1e-04,"case_oracle_change"
34,0.0248179446371843,0.0513057056500027,100,100,75,0.75,1e-04,"case_oracle_change"
35,0.021230938937691,0.0438903511041895,100,100,72,0.72,1e-04,"case_oracle_change"
36,0.0181623730234537,0.0375467581167345,100,100,74,0.74,1e-04,"case_oracle_change"
37,0.0155373153684439,0.0321200220460756,100,100,71,0.71,1e-04,"case_oracle_change"
38,0.0132916645058849,0.0274776270439327,100,100,75,0.75,1e-04,"case_oracle_change"
39,0.0113705837300447,0.0235062101415248,100,100,74,0.74,1e-04,"case_oracle_change"
40,0.00972716203487634,0.0201087930312938,100,100,70,0.7,1e-04,"case_oracle_change"
41,0.00832126859087539,0.0172024139468184,100,100,70,0.7,1e-04,"case_oracle_change"
42,0.0071185727875427,0.0147161018136279,100,100,73,0.73,1e-04,"case_oracle_change"
43,0.00608970591180167,0.0125891432015631,100,100,74,0.74,1e-04,"case_oracle_change"
44,0.00520954399133618,0.0107695997592715,100,100,69,0.69,1e-04,"case_oracle_change"
45,0.00445659429055048,0.00921303992796748,100,100,70,0.7,1e-04,"case_oracle_change"
46,0.0038124704779531,0.00788145396408534,100,100,82,0.82,1e-04,"case_oracle_change"
47,0.00326144364904004,0.00674232577668861,100,100,78,0.78,1e-04,"case_oracle_change"
48,0.00279005824107379,0.00576783891476746,100,100,69,0.69,1e-04,"case_oracle_change"
49,0.00238680346075426,0.00493419731537282,100,100,71,0.71,1e-04,"case_oracle_change"
50,0.00204183220135076,0.00422104422588818,100,100,74,0.74,1e-04,"case_oracle_change"
51,0.0017467205855129,0.00361096511106137,100,100,72,0.72,1e-04,"case_oracle_change"
52,0.00149426226201944,0.00308906240624825,100,100,74,0.74,1e-04,"case_oracle_change"
53,0.00127829243338299,0.00264259173273804,100,100,73,0.73,1e-04,"case_oracle_change"
54,0.00109353731722829,0.0022606506918767,100,100,75,0.75,1e-04,"case_oracle_change"
55,0.000935485365430906,0.00193391263863052,100,100,71,0.71,1e-04,"case_oracle_change"
56,0.000800277096307539,0.00165439893358759,100,100,66,0.66,1e-04,"case_oracle_change"
57,0.000684610849662435,0.00141528411200309,100,100,71,0.71,1e-04,"case_oracle_change"
58,0.000585662163315752,0.00121072921229753,100,100,72,0.72,1e-04,"case_oracle_change"
59,0.000501014802363725,0.00103573919404487,100,100,75,0.75,1e-04,"case_oracle_change"
60,0.000428601756969282,0.00088604096373046,100,100,66,0.66,1e-04,"case_oracle_change"
NA,NA,NA,100,6000,4800,0.8,1e-04,"case_oracle_change"
