"path_index","lambda_gamma","lambda_Omega","omega_stop_mode","omega_stop_metric","omega_inner_iters","omega_inner_converged","solver_tol","case"
1,4.28601756969282,8.86040963730461,"current",0,0,TRUE,1e-04,"case_norm_mode"
2,3.66654767904032,7.57979029781112,"current",0,0,TRUE,1e-04,"case_norm_mode"
3,3.13661147302283,6.4842623886032,"current",0,0,TRUE,1e-04,"case_norm_mode"
4,2.68326840230086,5.54707413691853,"current",0,0,TRUE,1e-04,"case_norm_mode"
5,2.29544825067144,4.74534027718437,"current",0,0,TRUE,1e-04,"case_norm_mode"
6,1.96368081068312,4.05948321411427,"current",0,0,TRUE,1e-04,"case_norm_mode"
7,1.67986462997683,3.47275495603733,"current",0,0,TRUE,1e-04,"case_norm_mode"
8,1.4370691813531,2.97082814451621,"current",0,0,TRUE,1e-04,"case_norm_mode"
9,1.22936562574292,2.54144619357784,"current",0,0,TRUE,1e-04,"case_norm_mode"
10,1.05168203547115,2.17412399528183,"current",0,0,TRUE,1e-04,"case_norm_mode"
11,0.899679542499283,1.85989188313518,"current",0,0,TRUE,1e-04,"case_norm_mode"
12,0.769646387302891,1.5910766011778,"current",0,0,TRUE,1e-04,"case_norm_mode"
13,0.658407281155739,1.3611139302077,"current",0,0,TRUE,1e-04,"case_norm_mode"
14,0.563245868531947,1.16438839565236,"current",0,0,TRUE,1e-04,"case_norm_mode"
15,0.481838396230109,0.996096142901866,"current",0,0,TRUE,1e-04,"case_norm_mode"
16,0.412196969481073,0.85212763164655,"current",0,0,TRUE,1e-04,"case_norm_mode"
17,0.352621009406314,0.728967284724337,"current",0,0,TRUE,1e-04,"case_norm_mode"
18,0.301655726463164,0.623607640995718,"current",0,0,TRUE,1e-04,"case_norm_mode"
19,0.258056595837054,0.533475915939497,"current",0,0,TRUE,1e-04,"case_norm_mode"
20,0.220758967302882,0.456371176647336,"current",0,0,TRUE,1e-04,"case_norm_mode"
21,0.188852067456581,0.390410597088876,"current",0,0,TRUE,1e-04,"case_norm_mode"
22,0.161556759475561,0.333983481251,"current",0,0,TRUE,1e-04,"case_norm_mode"
23,0.138206517322057,0.285711931439055,"current",0,0,TRUE,1e-04,"case_norm_mode"
24,0.118231149797118,0.244417201296511,"current",0,0,TRUE,1e-04,"case_norm_mode"
25,0.101142877001776,0.209090911915109,"current",0,0,TRUE,1e-04,"case_norm_mode"
26,0.0865244192055192,0.178870428159656,"current",0,0,TRUE,1e-04,"case_norm_mode"
27,0.0740188072633227,0.153017793920229,"current",0,0,TRUE,1e-04,"case_norm_mode"
28,0.0633206657610876,0.130901711910223,"current",0,0,TRUE,1e-04,"case_norm_mode"
29,0.054168756032011,0.111982127973692,"current",0,0,TRUE,1e-04,"case_norm_mode"
