"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,1,1e-05,4,FALSE,52,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_norm_mode"
1,2,1e-06,4,FALSE,47,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_norm_mode"
1,3,1e-07,1,TRUE,12,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_norm_mode"
1,1,1e-05,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
1,2,1e-06,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
1,3,1e-07,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
1,4,1e-08,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,41,TRUE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
2,1,1e-05,1,TRUE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
3,1,1e-05,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
3,2,1e-06,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
3,3,1e-07,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
3,4,1e-08,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,45,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,135,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,14,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,7,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
5,1,1e-05,0,TRUE,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
6,1,1e-05,0,TRUE,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
