"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,1,1e-08,0,TRUE,123,TRUE,1,4.28601756969282,8.86040963730461,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,1,TRUE,1,4.28601756969282,8.86040963730461,1e-07,"case_relative_change"
1,1,1e-08,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-07,"case_relative_change"
1,2,1e-09,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-07,"case_relative_change"
1,3,1e-10,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,85,TRUE,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
3,1,1e-08,3,TRUE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
4,1,1e-08,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
4,2,1e-09,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
4,3,1e-10,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,4,2.68326840230086,5.54707413691853,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,1000,FALSE,4,2.68326840230086,5.54707413691853,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,1000,FALSE,4,2.68326840230086,5.54707413691853,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,213,TRUE,4,2.68326840230086,5.54707413691853,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,35,TRUE,4,2.68326840230086,5.54707413691853,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,263,TRUE,5,2.29544825067144,4.74534027718437,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,65,TRUE,5,2.29544825067144,4.74534027718437,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,58,TRUE,5,2.29544825067144,4.74534027718437,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,43,TRUE,5,2.29544825067144,4.74534027718437,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,106,TRUE,6,1.96368081068312,4.05948321411427,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,75,TRUE,6,1.96368081068312,4.05948321411427,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,69,TRUE,6,1.96368081068312,4.05948321411427,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,61,TRUE,6,1.96368081068312,4.05948321411427,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,46,TRUE,6,1.96368081068312,4.05948321411427,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,119,TRUE,7,1.67986462997683,3.47275495603733,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,79,TRUE,7,1.67986462997683,3.47275495603733,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,72,TRUE,7,1.67986462997683,3.47275495603733,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,63,TRUE,7,1.67986462997683,3.47275495603733,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,46,TRUE,7,1.67986462997683,3.47275495603733,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,8,1.4370691813531,2.97082814451621,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,80,TRUE,8,1.4370691813531,2.97082814451621,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,74,TRUE,8,1.4370691813531,2.97082814451621,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,64,TRUE,8,1.4370691813531,2.97082814451621,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,45,TRUE,8,1.4370691813531,2.97082814451621,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
3,1,1e-08,2,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
6,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
7,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
8,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
9,1,1e-08,0,TRUE,1000,FALSE,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
