"inner_iter","inner_training_loss","r_norm","s_norm","residual_sum","eps_pri","eps_dual","primal_dual_gap","progress_proxy","admm_tol_target","rho","sub_stop_mode","omega_stop_mode","omega_stop_metric","outer_iter","sub_attempt","direction_norm_fro","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,138.139489468137,2.70308871087611,0.09841673682308,2.80150544769919,7.10633520177595e-07,7.10633520177595e-07,3803773.1603212,NA,1e-08,1,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
2,138.139403925776,2.12954746847094,0.00285375178031606,2.13240122025126,7.10633520177595e-07,7.10633520177595e-07,2996688.74040553,6.19246246131578e-07,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
3,138.123425332133,1.14646021180457,0.0684477688602455,1.21490798066482,7.10633520177595e-07,7.10633520177595e-07,1613293.18031334,0.000115670063639459,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
4,138.275485328892,0.804389147482023,0.757012334138046,1.56140148162007,7.10633520177595e-07,7.10633520177595e-07,1131932.45835209,0.00110089940495884,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
5,138.09731343025,0.448866116171704,0.700765586024347,1.14963170219605,7.10633520177595e-07,7.10633520177595e-07,986113.89151643,0.00128852846344003,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
1,138.091633255355,0.309474967930475,0.0978349365144174,0.407309904444893,7.10633520177595e-08,7.10633520177595e-08,4354916.55182737,NA,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
2,138.08974349683,0.230936052404361,0.0509047084761437,0.281840760880505,7.10633520177595e-08,7.10633520177595e-08,3249720.78922829,1.36848155127461e-05,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
3,138.088607272289,0.18376780089231,0.0361502300341119,0.219918030926421,7.10633520177595e-08,7.10633520177595e-08,2585971.47016628,8.22816026428643e-06,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
4,138.087868330144,0.151441557143083,0.0272557330483322,0.178697290191415,7.10633520177595e-08,7.10633520177595e-08,2131078.1555201,5.35121730997422e-06,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
5,138.087363820337,0.127088390614024,0.0214332601034889,0.148521650717513,7.10633520177595e-08,7.10633520177595e-08,1788381.59199503,3.65354185555611e-06,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
1,138.087008898964,0.107727013222571,0.0173246674650664,0.125051680687637,7.10633520177595e-09,7.10633520177595e-09,15159292.4009057,NA,1e-10,8,"residual_plus_proxy","duality_gap",0,1,3,0.00653110020509883,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
2,138.086754365385,0.0918893923075794,0.0142529459328987,0.106142338240478,7.10633520177595e-09,7.10633520177595e-09,12930630.1628743,1.84328403774146e-06,1e-10,8,"residual_plus_proxy","duality_gap",0,1,3,0.00653110020509883,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
3,138.086569389978,0.0787322217645814,0.0118632058899048,0.0905954276544862,7.10633520177595e-09,7.10633520177595e-09,11079159.5849441,1.33955938197187e-06,1e-10,8,"residual_plus_proxy","duality_gap",0,1,3,0.00653110020509883,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
4,138.086433628694,0.0677007054120154,0.00995507992928267,0.0776557853412981,7.10633520177595e-09,7.10633520177595e-09,9526810.02088057,9.83160668495611e-07,1e-10,8,"residual_plus_proxy","duality_gap",0,1,3,0.00653110020509883,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
5,138.086333197296,0.058393798594309,0.00840544018173887,0.0667992387760479,7.10633520177595e-09,7.10633520177595e-09,8217146.6636862,7.27308213746695e-07,1e-10,8,"residual_plus_proxy","duality_gap",0,1,3,0.00653110020509883,1,4.28601756969282,8.86040963730461,1e-07,"case_norm_mode"
1,138.086168455812,0.17008763858917,1.30169627530146,1.47178391389063,7.10633520177595e-07,7.10633520177595e-07,1831740.60657335,NA,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0862191029123764,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
2,138.03850774164,0.0470023212938487,0.414638947663789,0.461641268957638,7.10633520177595e-07,7.10633520177595e-07,583477.891051588,0.000345151977965669,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0862191029123764,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
3,138.032575419765,0.0389145887276899,0.144799314399838,0.183713903127528,7.10633520177595e-07,7.10633520177595e-07,203760.884180712,4.29758476236037e-05,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0862191029123764,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
4,138.03175154521,0.0334208250996021,0.0524380681776328,0.0858588932772349,7.10633520177595e-07,7.10633520177595e-07,73790.5920403641,5.96869653326022e-06,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0862191029123764,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
5,138.031607918602,0.029031456379037,0.020130872416706,0.049162328795743,7.10633520177595e-07,7.10633520177595e-07,40852.92285647,1.04053311150949e-06,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0862191029123764,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
1,138.031391903104,0.0246368679303599,0.022730382408454,0.047367250338814,7.10633520177595e-07,7.10633520177595e-07,34668.8795712914,NA,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,0.0196024962639052,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
2,138.031383078645,0.0215228076083108,0.00586633435679653,0.0273891419651073,7.10633520177595e-07,7.10633520177595e-07,30286.7891778198,6.39308102009249e-08,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,0.0196024962639052,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
3,138.03137507571,0.018849533044575,0.00275182628323248,0.0216013593278074,7.10633520177595e-07,7.10633520177595e-07,26524.9703389509,5.79790955518757e-08,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,0.0196024962639052,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
4,138.031366602929,0.016540331338327,0.00212819956179947,0.0186685309001265,7.10633520177595e-07,7.10633520177595e-07,23275.4730373447,6.13830060748466e-08,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,0.0196024962639052,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
5,138.031358955342,0.0145380322454199,0.00190336828130466,0.0164414005267246,7.10633520177595e-07,7.10633520177595e-07,20457.8475861746,5.54047079289817e-08,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,0.0196024962639052,2,3.66654767904032,7.57979029781112,1e-07,"case_norm_mode"
1,137.724104643843,0.363133876883283,2.90337177623342,3.2665056531167,7.10633520177595e-07,7.10633520177595e-07,4085610.50639412,NA,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,1.06803352593429,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
2,137.563247656199,0.0399634326808355,0.760284399804757,0.800247832485593,7.10633520177595e-07,7.10633520177595e-07,1069868.47399874,0.00116796539037129,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,1.06803352593429,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
3,138.107545578551,1.21323402834994,1.36026388768408,2.57349791603403,7.10633520177595e-07,7.10633520177595e-07,1914156.6631196,0.00395671032507571,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,1.06803352593429,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
4,138.103030737014,0.880103275563629,0.0359307885907372,0.916034064154366,7.10633520177595e-07,7.10633520177595e-07,1238477.00759131,3.26907665933324e-05,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,1.06803352593429,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
5,143.077662319307,1.67912143808925,8.97708610238325,10.6562075404725,7.10633520177595e-07,7.10633520177595e-07,12632511.4809386,0.0360211615613748,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,1.06803352593429,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
1,138.357925969003,0.25805416765396,4.21497076958706,4.47302493724102,7.10633520177595e-07,7.10633520177595e-07,5931286.16918281,NA,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,1.18722379626754,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
2,138.227581300068,1.17914615182134,2.48473850895677,3.66388466077811,7.10633520177595e-07,7.10633520177595e-07,3496511.82839759,0.000942083137066725,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,1.18722379626754,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
3,138.149389781737,0.777993839679863,0.117193323276271,0.895187162956134,7.10633520177595e-07,7.10633520177595e-07,1094789.11082809,0.000565672332513586,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,1.18722379626754,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
4,138.122436630065,0.612793195367236,0.0564719332193133,0.669265128586549,7.10633520177595e-07,7.10633520177595e-07,862319.575375634,0.000195101489152753,1e-08,4,"residual_plus_proxy","duality_gap",0,2,1,1.18722379626754,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
5,149.26181460349,2.2558770749084,11.6632028837708,13.9190799586792,7.10633520177595e-07,7.10633520177595e-07,16412401.8254248,0.0806485770538503,1e-08,8,"residual_plus_proxy","duality_gap",0,2,1,1.18722379626754,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
1,139.176198366738,0.381175044937608,5.89508305107115,6.27625809600876,7.10633520177595e-08,7.10633520177595e-08,82955319.2142964,NA,1e-09,8,"residual_plus_proxy","duality_gap",0,2,2,1.21686616861198,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
