"outer_iter","inner_iters","inner_converged","training_loss","elapsed_sec","path_index","lambda_gamma","lambda_Omega","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
1,111,TRUE,138.086023084597,0.171784162521362,1,4.28601756969282,8.86040963730461,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,4000,FALSE,138.086023084597,2.76750206947327,2,3.66654767904032,7.57979029781112,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,41,TRUE,137.68571134835,0.0296330451965332,3,3.13661147302283,6.4842623886032,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,1000,FALSE,137.641763348267,0.707513093948364,3,3.13661147302283,6.4842623886032,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,4000,FALSE,137.641763348267,3.5087890625,3,3.13661147302283,6.4842623886032,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,45,TRUE,136.46782339836,0.0325131416320801,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,135,TRUE,136.334182736995,0.680315017700195,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,14,TRUE,136.31167015277,0.692674160003662,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,7,TRUE,136.310733004577,0.699182033538818,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,1,TRUE,136.310728185953,0.701999187469482,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,136.310728031066,0.704795122146606,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,136.31072786863,0.707602024078369,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,136.310727724552,0.710622072219849,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,136.310727602953,0.715167999267578,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,136.310727501692,0.717753171920776,4,2.68326840230086,5.54707413691853,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,1000,FALSE,134.31233658953,0.655189990997314,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,1000,FALSE,134.298422610741,1.35172986984253,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,174,TRUE,134.243967730839,3.13901495933533,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
