"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,111,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_norm_mode"
1,4000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
1,41,TRUE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
2,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
3,4000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
1,45,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
2,135,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
3,14,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
4,7,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
5,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
6,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
7,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
8,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
9,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
10,1,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
1,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
2,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
3,174,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
4,12,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
5,6,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
6,1,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
7,1,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
8,1,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
9,1,TRUE,5,2.29544825067144,4.74534027718437,1e-04,"case_norm_mode"
1,28,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
2,17,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
3,14,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
4,12,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
5,2,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
6,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
7,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
8,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
9,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
10,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
11,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
12,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
13,1,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_norm_mode"
1,28,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
2,18,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
3,15,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
4,12,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
5,2,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
6,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
7,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
8,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
9,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
10,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
11,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
12,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
13,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
1,132,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
2,18,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
3,15,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
4,12,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
5,2,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
6,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
7,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
8,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
9,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
