"pn_outer_iters","path_count","path_fraction","tol_outer","tol_inner_base","tol_inner_floor"
1,2,0.0333333333333333,1e-04,1e-05,1e-08
3,1,0.0166666666666667,1e-04,1e-05,1e-08
7,2,0.0333333333333333,1e-04,1e-05,1e-08
9,4,0.0666666666666667,1e-04,1e-05,1e-08
10,3,0.05,1e-04,1e-05,1e-08
11,4,0.0666666666666667,1e-04,1e-05,1e-08
13,6,0.1,1e-04,1e-05,1e-08
14,1,0.0166666666666667,1e-04,1e-05,1e-08
15,1,0.0166666666666667,1e-04,1e-05,1e-08
16,3,0.05,1e-04,1e-05,1e-08
17,2,0.0333333333333333,1e-04,1e-05,1e-08
18,2,0.0333333333333333,1e-04,1e-05,1e-08
19,2,0.0333333333333333,1e-04,1e-05,1e-08
20,3,0.05,1e-04,1e-05,1e-08
21,2,0.0333333333333333,1e-04,1e-05,1e-08
22,3,0.05,1e-04,1e-05,1e-08
23,3,0.05,1e-04,1e-05,1e-08
25,5,0.0833333333333333,1e-04,1e-05,1e-08
26,1,0.0166666666666667,1e-04,1e-05,1e-08
27,1,0.0166666666666667,1e-04,1e-05,1e-08
29,1,0.0166666666666667,1e-04,1e-05,1e-08
31,1,0.0166666666666667,1e-04,1e-05,1e-08
32,1,0.0166666666666667,1e-04,1e-05,1e-08
33,2,0.0333333333333333,1e-04,1e-05,1e-08
34,1,0.0166666666666667,1e-04,1e-05,1e-08
38,1,0.0166666666666667,1e-04,1e-05,1e-08
46,1,0.0166666666666667,1e-04,1e-05,1e-08
119,1,0.0166666666666667,1e-04,1e-05,1e-08
