"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
0,138.086023084596,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
1,138.086023084596,0,0,0,0,0.0249039107232687,0,4,FALSE,FALSE,NA,NA,15,FALSE,1e-10,0.00653110020509883,TRUE,2,3,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0.018218994140625,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
0,138.086023084596,NA,NA,0.0110423077120174,7.99732699572906e-05,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0,2,3.66654767904032,7.57979029781112,1e-07,"case_oracle_change"
1,138.034582338419,-0.0514407461767235,0.000369848422119568,-0.040398438464706,-0.000292583335789025,0.337735730452148,0.747531801114414,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.0862191029123764,FALSE,0,1,"oracle_change",0.102490278263914,0.293021142806579,2.85901402328175,71,21,0.0084,0,0,0.00539803504943848,2,3.66654767904032,7.57979029781112,1e-07,"case_oracle_change"
0,137.89857794431,NA,NA,0.163128683363652,0.0011843623717711,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102490278263914,0.293021142806579,2.85901402328175,71,21,0.0084,0,0,0,3,3.13661147302283,6.4842623886032,1e-07,"case_oracle_change"
1,137.678868064392,-0.219709879917531,0.00158180078708669,-0.0565811965538785,-0.000410796181066523,3.94668143326405,0.202155730764363,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,1.07991303575293,FALSE,0,1,"oracle_change",0.102475604398705,0.292974635881499,2.8589695820833,131,81,0.0324,0,0,0.00536012649536133,3,3.13661147302283,6.4842623886032,1e-07,"case_oracle_change"
0,136.776494266147,NA,NA,0.46343547834465,0.00339978783005725,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102475604398705,0.292974635881499,2.8589695820833,131,81,0.0324,0,0,0,4,2.68326840230086,5.54707413691853,1e-07,"case_oracle_change"
1,136.468950594416,-0.307543671731565,0.0022321926056376,0.155891806613084,0.0011436307570191,0.833816340918062,0.545310878568882,0,TRUE,FALSE,NA,NA,10,FALSE,1e-09,0.23699595368998,TRUE,1,2,NA,0.102892444144715,0.293024793084252,2.84787474454511,131,81,0.0324,0,0,0.0127270221710205,4,2.68326840230086,5.54707413691853,1e-07,"case_oracle_change"
2,136.34929955057,-0.119651043845693,0.000870385954997994,0.0362407627673917,0.000265864203251483,0.449539197332116,0.689874411013172,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.131808955799056,FALSE,0,1,NA,0.102842086731455,0.293016166398933,2.84918534533501,131,81,0.0324,0,0,0.0179409980773926,4,2.68326840230086,5.54707413691853,1e-07,"case_oracle_change"
0,135.056253303215,NA,NA,0.81806613107446,0.00609413869710125,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102842086731455,0.293016166398933,2.84918534533501,131,81,0.0324,0,0,0,5,2.29544825067144,4.74534027718437,1e-07,"case_oracle_change"
