"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
0,138.086023084596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0,1,4.28601756969282,8.86040963730461,1e-07,"case_relative_change"
1,138.086023084596,1.13686837721616e-13,8.17385062857602e-16,NA,NA,2.98242151450672e-07,0.999999701757938,0,TRUE,FALSE,NA,NA,123,TRUE,1e-08,7.32175517455993e-08,FALSE,0,1,NA,0.102492235942501,0.293021497949976,2.85896287904542,50,0,0,0,0,0.0945858955383301,1,4.28601756969282,8.86040963730461,1e-07,"case_relative_change"
2,138.086023084596,-5.6843418860808e-14,4.08692531428801e-16,NA,NA,5.65889984563464e-08,0.999999943411005,0,TRUE,FALSE,NA,NA,1,TRUE,1e-08,1.38985905460797e-08,FALSE,0,1,"relative_change",0.102492235928247,0.293021497948878,2.85896287943231,50,0,0,0,0,0.0978879928588867,1,4.28601756969282,8.86040963730461,1e-07,"case_relative_change"
0,138.086023084596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235928247,0.293021497948878,2.85896287943231,50,0,0,0,0,0,2,3.66654767904032,7.57979029781112,1e-07,"case_relative_change"
1,138.086023084596,0,0,NA,NA,0.0362936379022503,0,4,FALSE,FALSE,NA,NA,3000,FALSE,1e-10,0.0106412565905813,TRUE,2,3,NA,0.102492235928247,0.293021497948878,2.85896287943231,50,0,0,0,0,1.93273496627808,2,3.66654767904032,7.57979029781112,1e-07,"case_relative_change"
0,138.086023084596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235928247,0.293021497948878,2.85896287943231,50,0,0,0,0,0,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
1,137.68576207054,-0.400261014055644,0.00287779465670821,NA,NA,1.0398053969731,0.490242844481103,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-08,0.278947297771049,FALSE,0,1,NA,0.102491661116073,0.293019092157482,2.85895544053711,94,44,0.0176,0,0,0.656996965408325,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
2,137.558215382166,-0.127546688373712,0.000919681202089355,NA,NA,0.537512200485657,0.650401342951378,0,TRUE,FALSE,NA,NA,85,TRUE,1e-08,0.145232612267929,FALSE,0,1,NA,0.10249196104027,0.293020654577404,2.85896231863759,94,44,0.0176,0,0,0.712629079818726,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
3,137.555016243615,-0.00319913855091158,2.30887684435588e-05,NA,NA,1.99924499676283,0.04167715546243,3,TRUE,FALSE,NA,NA,1000,FALSE,1e-08,0.563391731649152,FALSE,0,1,NA,0.102490411230711,0.293011411826948,2.85891536884719,126,76,0.0304,0,0,1.34877490997314,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
4,137.555016243615,0,0,NA,NA,1.92942061759202,0,4,FALSE,FALSE,NA,NA,3000,FALSE,1e-10,0.544930492421099,TRUE,2,3,NA,0.102490411230711,0.293011411826948,2.85891536884719,126,76,0.0304,0,0,3.29696893692017,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
