"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol"
0,138.086023084596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0,1,4.28601756969282,8.86040963730461,1e-05
1,138.086023084597,1.19371179607697e-12,8.58254316000482e-15,NA,NA,3.00285966828677e-06,0.499998498574674,1,TRUE,FALSE,NA,NA,111,TRUE,1e-07,7.3931947081993e-07,FALSE,0,1,"local_norm|relative_change",0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0.172222852706909,1,4.28601756969282,8.86040963730461,1e-05
0,138.086023084597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0,2,3.66654767904032,7.57979029781112,1e-05
1,138.086023084597,0,0,NA,NA,0.0362939643814044,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-10,0.0106413247138824,TRUE,3,4,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,2.86599493026733,2,3.66654767904032,7.57979029781112,1e-05
0,138.086023084597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0,3,3.13661147302283,6.4842623886032,1e-05
1,137.685762070114,-0.400261014483021,0.00287779465978094,NA,NA,1.03980540139645,0.490242843418004,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.278947298793839,FALSE,0,1,NA,0.102491661428866,0.2930190921903,2.8589554321321,94,44,0.0176,0,0,0.670310974121094,3,3.13661147302283,6.4842623886032,1e-05
2,137.55821546066,-0.127546609453418,0.000919680633033807,NA,NA,0.537511250828507,0.650401744677405,0,TRUE,FALSE,NA,NA,63,TRUE,1e-07,0.145232411269141,FALSE,0,1,NA,0.102491960861265,0.293020654589515,2.85896232374903,94,44,0.0176,0,0,0.71556806564331,3,3.13661147302283,6.4842623886032,1e-05
3,137.555016296685,-0.00319916397546649,2.30889519241449e-05,NA,NA,1.99924521561686,0.0416771524212604,3,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.563391760694838,FALSE,0,1,NA,0.102490411093781,0.293011411777013,2.85891537217957,126,76,0.0304,0,0,1.41917395591736,3,3.13661147302283,6.4842623886032,1e-05
4,137.555016296685,0,0,NA,NA,1.92942083718752,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-10,0.544930522742883,TRUE,3,4,NA,0.102490411093781,0.293011411777013,2.85891537217957,126,76,0.0304,0,0,4.18941402435303,3,3.13661147302283,6.4842623886032,1e-05
0,136.840657058115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102490411093781,0.293011411777013,2.85891537217957,126,76,0.0304,0,0,0,4,2.68326840230086,5.54707413691853,1e-05
1,136.456922663357,-0.383734394757653,0.00278389847340809,NA,NA,1.0083488558142,0.49792146275035,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.289997580119652,FALSE,0,1,NA,0.102528818808836,0.293016394114089,2.8578930052868,126,76,0.0304,0,0,14.5671119689941,4,2.68326840230086,5.54707413691853,1e-05
2,136.330790569096,-0.126132094261294,0.000917611800245243,NA,NA,0.533742558525105,0.651999903400758,0,TRUE,FALSE,NA,NA,154,TRUE,1e-07,0.156880758521702,FALSE,0,1,NA,0.102788098851897,0.293019716736339,2.85071637679122,126,76,0.0304,0,0,15.2290399074554,4,2.68326840230086,5.54707413691853,1e-05
3,136.311381357603,-0.0194092114927003,0.000141331826695739,NA,NA,0.199065717121402,0.833982646423001,0,TRUE,FALSE,NA,NA,80,TRUE,1e-07,0.0598531901355858,FALSE,0,1,NA,0.10299485702796,0.293021201450874,2.84500808978576,126,76,0.0304,0,0,15.2843658924103,4,2.68326840230086,5.54707413691853,1e-05
