"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_converged","pg_final_loss","pg_converged","diff_pg_minus_pn","abs_diff","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
1,4.28601756969282,8.86040963730461,138.086023084597,TRUE,138.086023084596,TRUE,-1.19371179607697e-12,1.19371179607697e-12,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,3.66654767904032,7.57979029781112,138.086023084597,FALSE,138.031323371779,TRUE,-0.0546997128175803,0.0546997128175803,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,3.13661147302283,6.4842623886032,137.641763348267,FALSE,137.537996433983,TRUE,-0.103766914284449,0.103766914284449,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,2.68326840230086,5.54707413691853,136.310727501692,TRUE,136.310726991597,TRUE,-5.10094992023369e-07,5.10094992023369e-07,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2.29544825067144,4.74534027718437,134.237597357416,TRUE,134.237795685596,TRUE,0.000198328180033513,0.000198328180033513,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1.96368081068312,4.05948321411427,131.372352704413,TRUE,131.372352578972,TRUE,-1.25440834608526e-07,1.25440834608526e-07,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1.67986462997683,3.47275495603733,127.863931655606,TRUE,127.86393153435,TRUE,-1.2125516946071e-07,1.2125516946071e-07,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1.4370691813531,2.97082814451621,123.902914410745,TRUE,123.902914247827,TRUE,-1.62917714874311e-07,1.62917714874311e-07,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1.22936562574292,2.54144619357784,119.641518110535,TRUE,119.642000322971,FALSE,0.000482212436750729,0.000482212436750729,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1.05168203547115,2.17412399528183,115.188498848201,TRUE,115.250316200254,FALSE,0.0618173520530405,0.0618173520530405,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,0.899679542499283,1.85989188313518,110.6278773436,TRUE,110.645253305199,FALSE,0.0173759615996261,0.0173759615996261,"case_norm_mode",1e-04,1e-05,1e-08,10000
