"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_outer_iters","pn_elapsed_sec","pn_converged","pn_stop_reason","target_loss_ref","pg_final_loss_at_stop","pg_target_reached","pg_outer_iters","pg_elapsed_sec","pg_stop_reason","pg_converged","diff_pg_minus_pn","tol_outer","tol_inner_base","tol_inner_floor","max_iter_pg_target"
1,4.28601756969282,8.86040963730461,138.086023084597,1,0.137588977813721,TRUE,"PN stop modes reached: local_norm",138.086023084597,138.086023084596,FALSE,0,9.17911529541016e-05,"max_iter_no_target",FALSE,-1.19371179607697e-12,1e-04,1e-05,1e-08,10000
2,3.66654767904032,7.57979029781112,138.086023084597,1,1.7062931060791,FALSE,"PN step failed to decrease objective",138.086023084597,138.086023084596,FALSE,0,8.0108642578125e-05,"max_iter_no_target",FALSE,-1.19371179607697e-12,1e-04,1e-05,1e-08,10000
3,3.13661147302283,6.4842623886032,137.641763348267,3,2.12741494178772,FALSE,"PN step failed to decrease objective",137.641763348267,137.565272201783,TRUE,2,0.00223684310913086,"target_reached",TRUE,-0.0764911464841589,1e-04,1e-05,1e-08,10000
4,2.68326840230086,5.54707413691853,136.310727501692,10,0.715857028961182,TRUE,"PN stop modes reached: local_norm",136.310727501692,136.31072743979,TRUE,19,0.0210180282592773,"target_reached",TRUE,-6.19026252479671e-08,1e-04,1e-05,1e-08,10000
5,2.29544825067144,4.74534027718437,134.237597357416,9,2.6724750995636,TRUE,"PN stop modes reached: local_norm",134.237597357416,134.237597253782,TRUE,76,0.0412349700927734,"target_reached",TRUE,-1.03634590686852e-07,1e-04,1e-05,1e-08,10000
6,1.96368081068312,4.05948321411427,131.372352704413,13,0.0530509948730469,TRUE,"PN stop modes reached: local_norm",131.372352704413,131.372352686074,TRUE,36,0.0200610160827637,"target_reached",TRUE,-1.83386532626173e-08,1e-04,1e-05,1e-08,10000
7,1.67986462997683,3.47275495603733,127.863931655606,13,0.0525851249694824,TRUE,"PN stop modes reached: local_norm",127.863931655606,127.863931648991,TRUE,43,0.0235600471496582,"target_reached",TRUE,-6.61476917684922e-09,1e-04,1e-05,1e-08,10000
8,1.4370691813531,2.97082814451621,123.902914410745,11,1.9072539806366,TRUE,"PN stop modes reached: local_norm",123.902914410745,123.902914345213,TRUE,45,0.0238230228424072,"target_reached",TRUE,-6.5531111204109e-08,1e-04,1e-05,1e-08,10000
9,1.22936562574292,2.54144619357784,119.641518110535,10,1.96385884284973,TRUE,"PN stop modes reached: local_norm",119.641518110535,119.642000322971,FALSE,10000,5.01603293418884,"max_iter_no_target",FALSE,0.000482212436736518,1e-04,1e-05,1e-08,10000
10,1.05168203547115,2.17412399528183,115.188498848201,9,3.65795207023621,TRUE,"PN stop modes reached: local_norm",115.188498848201,115.250316200254,FALSE,10000,4.93581390380859,"max_iter_no_target",FALSE,0.0618173520530121,1e-04,1e-05,1e-08,10000
