"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_outer_iters","pn_elapsed_sec","pn_converged","pn_stop_reason"
1,4.28601756969282,8.86040963730461,138.086023084597,1,0.137588977813721,TRUE,"PN stop modes reached: local_norm"
2,3.66654767904032,7.57979029781112,138.086023084597,1,1.7062931060791,FALSE,"PN step failed to decrease objective"
3,3.13661147302283,6.4842623886032,137.641763348267,3,2.12741494178772,FALSE,"PN step failed to decrease objective"
4,2.68326840230086,5.54707413691853,136.310727501692,10,0.715857028961182,TRUE,"PN stop modes reached: local_norm"
5,2.29544825067144,4.74534027718437,134.237597357416,9,2.6724750995636,TRUE,"PN stop modes reached: local_norm"
6,1.96368081068312,4.05948321411427,131.372352704413,13,0.0530509948730469,TRUE,"PN stop modes reached: local_norm"
7,1.67986462997683,3.47275495603733,127.863931655606,13,0.0525851249694824,TRUE,"PN stop modes reached: local_norm"
8,1.4370691813531,2.97082814451621,123.902914410745,11,1.9072539806366,TRUE,"PN stop modes reached: local_norm"
9,1.22936562574292,2.54144619357784,119.641518110535,10,1.96385884284973,TRUE,"PN stop modes reached: local_norm"
10,1.05168203547115,2.17412399528183,115.188498848201,9,3.65795207023621,TRUE,"PN stop modes reached: local_norm"
11,0.899679542499283,1.85989188313518,110.6278773436,7,4.88040590286255,TRUE,"PN stop modes reached: local_norm"
12,0.769646387302891,1.5910766011778,106.034855441299,7,4.83305788040161,TRUE,"PN stop modes reached: local_norm"
13,0.658407281155739,1.3611139302077,101.46841088142,13,18.2678639888763,TRUE,"PN stop modes reached: local_norm"
14,0.563245868531947,1.16438839565236,96.9715585975131,21,0.693294048309326,TRUE,"PN stop modes reached: local_norm"
15,0.481838396230109,0.996096142901866,92.578664048768,11,0.796126127243042,TRUE,"PN stop modes reached: local_norm"
16,0.412196969481073,0.85212763164655,88.3200035455431,9,0.723422050476074,TRUE,"PN stop modes reached: local_norm"
17,0.352621009406314,0.728967284724337,84.211461383055,9,0.784393072128296,TRUE,"PN stop modes reached: local_norm"
18,0.301655726463164,0.623607640995718,80.2622253906302,13,0.694260835647583,TRUE,"PN stop modes reached: local_norm"
19,0.258056595837054,0.533475915939497,76.4798090041904,22,0.767996072769165,TRUE,"PN stop modes reached: local_norm"
20,0.220758967302882,0.456371176647336,72.8693831676861,17,4.91307806968689,TRUE,"PN stop modes reached: local_norm"
21,0.188852067456581,0.390410597088876,69.4336826078599,46,4.816330909729,TRUE,"PN stop modes reached: local_norm"
22,0.161556759475561,0.333983481251,66.1772508819439,27,4.98615193367004,TRUE,"PN stop modes reached: local_norm"
23,0.138206517322057,0.285711931439055,63.0970389044278,25,5.06107306480408,TRUE,"PN stop modes reached: local_norm"
